stock,volume
HE,10154
DNI,202
HF,1507
WAGE,5658
HH,14900
HI,5828
HK,32509
DNL,10
HL,604373
DNO,300
ARIS,900
DNN,42069
DNP,30454
HP,38694
DNR,192931
HR,15763
HT,11533
MSBHY,32
UPI,600
ARII,6180
HW,8179
UPL,103070
HY,4012
ARIA,2321494
DOD,6242
ZARFF,10
DOC,384
UPS,101825
UPV,802
RBYC,5000
IF,3000
UPW,206
DOG,14727
IG,7550
WAFD,12972
MDIV,10994
DOL,1570
DON,8421
DOM,3550
IL,15101
IM,21722
NGLS,9070
DOO,3701
IO,59942
IP,119292
WRGL,10152
IR,121066
MGPHF,12550
DOV,25612
IT,7192
FINMY,578
DOX,22321
DOW,302527
IX,286
UQM,5250
CGNX,43271
DPD,1581
ULBI,1200
DPG,5760
JE,8725
RSYS,5110
WAFR,71000
DPM,2033
MDLZ,518015
DPO,4414
URA,14668
JO,11265
ARKR,802
DPS,59769
MUNI,9031
NGPC,267
URE,26704
DPW,300
URG,108279
KPELY,190
URI,56493
DPZ,12498
URR,2
RSO.PR.B,1300
AAIT,230
KB,3408
URS,10461
AAIR,1000
WAIR,3050
KF,2825
URZ,14699
MDMN,29000
USA,57351
KO,700491
USB,895920
KR,137391
NXPI,248636
USD,813
KS,14997
USG,135698
KT,11163
ARLP,3947
KW,2796
USM,3375
WRIT,1850000
USL,752
USO,394838
DRC,12512
DRE,118931
LB,33013
USU,10869
DRD,10965
BDMS,2
UST,1369
DRI,51101
LF,45168
LG,2122
DRH,39346
LH,33536
DRL,607
LL,11561
DRN,15810
LM,63575
DRQ,3382
LO,66131
GLADP,380
DRR,300
UTF,20517
DRU,775
DRW,512
EMXX,49307
KIM.PR.H,607
UTG,4225
DRV,7670
UTI,207
VOIS,116457
UTL,414
KIM.PR.K,447
HWCC,1096
KIM.PR.I,956
NGRC,4900
NXST,23946
UBS.PR.D,89
KIM.PR.J,300
ARMK,14722
PMXO,1000
ARMH,138873
MA,83523
ARMF,3265
MD,13700
UTX,215144
MG,415
NXTH,100000
DSI,1996
DSL,13363
HFBC,400
NXTD,103
DSM,30378
MM,68783
MN,414
MO,235657
DST,11170
HWAY,23123
MR,63344
DSS,13570
MS,593734
DSU,68507
